consulta,categoria
"¿Hasta cuándo puedo inscribirme?",Inscripciones
"Buenos días quiero saber la fecha límite de inscripción",Inscripciones
"No pude inscribirme a materias este semestre",Inscripciones
"¿Cómo hago mi reinscripción para la carrera?",Inscripciones
"Necesito registrar una materia pendiente",Inscripciones
"¿Dónde se realiza la inscripción de nuevos estudiantes?",Inscripciones
"Hola quisiera confirmar si sigo a tiempo para inscribirme",Inscripciones
"Me sale error al intentar inscribir mis materias",Inscripciones
"¿Puedo cambiar mi inscripción de una materia a otra?",Inscripciones
"Quiero saber los requisitos para la inscripción",Inscripciones
"Buenas tardes necesito ayuda con mi matrícula",Inscripciones
"¿Cuándo empieza el periodo de inscripciones?",Inscripciones
"No aparezco habilitado para inscribirme",Inscripciones
"¿La inscripción se hace en línea o presencial?",Inscripciones
"Tengo problemas para registrar asignaturas",Inscripciones
"¿Puedo inscribirme si tengo una materia reprobada?",Inscripciones
"Me olvidé hacer mi inscripción qué puedo hacer",Inscripciones
"Solicito información para inscripción de primer semestre",Inscripciones
"¿Qué documentos necesito para inscribirme?",Inscripciones
"Quiero anular una materia inscrita",Inscripciones
"Necesito agregar otra materia a mi inscripción",Inscripciones
"¿Hasta qué hora atienden para inscripciones?",Inscripciones
"No encuentro el formulario de inscripción",Inscripciones
"¿Hay ampliación para la inscripción?",Inscripciones
"Quiero confirmar si mi inscripción fue aceptada",Inscripciones
"Mi materia no aparece para inscribirme",Inscripciones
"¿Puedo inscribirme con deuda pendiente?",Inscripciones
"Ayuda no pude completar mi registro académico",Inscripciones
"Deseo saber si ya estoy inscrito en el sistema",Inscripciones
"¿Cuándo publican los grupos para inscribirse?",Inscripciones
"¿Dónde puedo ver mi horario de clases?",Horarios
"Hola necesito saber el horario de matemáticas",Horarios
"¿A qué hora empieza la clase de programación?",Horarios
"No me aparece el horario del semestre",Horarios
"¿Cuándo publican los horarios oficiales?",Horarios
"Quiero cambiarme de turno por trabajo",Horarios
"¿En qué aula tengo clases mañana?",Horarios
